0	0
2250	0
4500	0
6750	0
9000	0
11250	1
13500	1
15750	0
18000	1
20250	1
22500	0
24750	0
27000	1
29250	0
31500	1
33750	0
36000	1
38250	0
40500	1
42750	0
45000	0
47250	0
49500	1
51750	1
54000	0
56250	0
58500	1
60750	1
63000	1
65250	0
67500	1
69750	1
72000	1
74250	1
76500	1
78750	1
81000	1
83250	0
85500	1
87750	1
90000	0
92250	1
94500	0
96750	1
99000	1
101250	1
103500	0
105750	0
108000	0
110250	1
112500	0
114750	1
117000	1
119250	0
121500	1
123750	0
126000	1
128250	1
130500	0
132750	0
135000	0
137250	0
139500	1
141750	0
144000	0
146250	0
148500	1
150750	1
153000	1
155250	0
157500	1
159750	0
162000	1
164250	0
166500	1
168750	0
171000	1
173250	0
175500	0
177750	0
